省份,行政区,名称,朝代
北京市,丰台区,卢沟桥,金
河北省,石家庄市,安济桥(大石桥),隋
河北省,石家庄市,永通桥(小石桥),金
福建省,泉州市,安平桥(五里桥),宋
江西省,九江市庐山市,观音桥,宋
福建省,泉州市,洛阳桥,宋
广东省,潮州市,广济桥,宋
四川省,泸县,龙脑桥,明
陕西省,渭南市,东渭桥遗址,唐
江苏省,苏州市,宝带桥,明
浙江省,义乌市,古月桥,宋
浙江省,庆元县,如龙桥,明
浙江省,绍兴市,八字桥,宋
福建省,漳州市,江东桥,宋
河南省,临颍县,小商桥,宋
广西壮族自治区,三江侗族自治县,岜团桥,清
贵州省,黎平县,地坪风雨桥,清
浙江省,平湖市,跨湖桥遗址,新石器时代
河南省,郑州市,小双桥遗址,商
河北省,涿州市,永济桥,明
河北省,献县,单桥,明
河北省,永年县,弘济桥,明
河北省,安国市,伍仁桥,明
江苏省,太仓市,太仓石拱桥,元
江苏省,扬州市,莲花桥和白塔,清
浙江省,温岭市,新河闸桥群,宋
浙江省,德清县,寿昌桥,宋
浙江省,苍南县,赤溪五洞桥,宋
浙江省,泰顺县,泰顺廊桥,清
浙江省,泰顺县,仕水矴步,清
福建省,屏南县/寿宁县/柘荣县/古田县/武夷山市,闽东北廊桥,清
江西省,樟树市,鸣水桥,宋
江西省,婺源县,清华彩虹桥,宋
山东省,泗水县,卞桥,唐
湖南省,通道侗族自治县,坪坦风雨桥,清
贵州省,福泉市,葛镜桥,明
云南省,丽江市,金龙桥,清
云南省,建水县,双龙桥,清
云南省,红河哈尼族彝族自治县,五家寨铁路桥,清
甘肃省,兰州市,兰州黄河铁桥,清
北京市,房山区,琉璃河大桥,明
河北省,涿州市,下胡良桥,明
河北省,满城县,方顺桥,明
河北省,沧州市,登瀛桥,明
河北省,桃城区,衡水安济桥,清
山西省,襄垣县,襄垣永惠桥,金
山西省,平遥县,平遥惠济桥,清
江苏省,苏州市吴江区,思本桥,宋
江苏省,苏州市吴江区,东庙桥,宋
江苏省,南京市秦淮区,七桥瓮,明
江苏省,南京市溧水区,蒲塘桥,明
浙江省,温州市瑞安市,八卦桥和河西桥,宋
浙江省,杭州市建德市,西山桥,宋
浙江省,湖州市吴兴区,潘公桥及潘孝墓,明
浙江省,温州市,护法寺桥,宋
浙江省,湖州市南浔区,双林三桥,清
安徽省,黄山市歙县,北岸廊桥,清
福建省,福州市福清市,龙江桥,宋
福建省,莆田市涵江区,宁海桥,元
江西省,宜春市宜丰县,逢渠桥,宋
江西省,抚州市南城县,万年桥和聚星塔,明
江西省,赣州市龙南县,太平桥,清
江西省,赣州市安远县,永镇桥,清
江西省,赣州市信丰县,玉带桥,清
山东省,济南市平阴县,平阴永济桥,明
山东省,泰安市岱岳区,大汶口古石桥,明
河南省,信阳市光山县,永济桥,明
湖南省,通道侗族自治县,兵书阁与文星桥,清
湖南省,永州市东安县,广利桥,清
湖南省,安化县,安化风雨桥,清
广西壮族自治区,富川瑶族自治县,富川瑶族风雨桥群,明
广西壮族自治区,北海市合浦县,惠爱桥,清
广西壮族自治区,三江县,程阳桥（含周边建筑群）,清
四川省,泸州市泸县,泸县龙桥群,明
贵州省,从江县,金勾风雨桥,清
云南省,大理白族自治州云龙县,沘江古桥梁群,明
云南省,楚雄彝族自治州禄丰县,星宿桥和丰裕桥,清
陕西省,渭南市华州区,桥上桥,清
陕西省,渭南市韩城市,毓秀桥,清
河北省,唐山市滦县,滦河铁桥,清
陕西省,西安市未央区,中渭桥遗址,秦
山西省,原平市,原平普济桥,金
辽宁省,沈阳市于洪区,永安石桥,清
江苏省,苏州市吴江区,垂虹断桥,宋
浙江省,杭州市西湖区,杭州忠义桥,宋
浙江省,宁波市奉化区,南渡广济桥,宋
浙江省,湖州市吴兴区,湖州潮音桥,明
浙江省,余姚市,余姚通济桥,清
浙江省,温岭市,金清大桥,清
安徽省,定远县,池河太平桥,明
安徽省,黄山市屯溪区,屯溪镇海桥,明
安徽省,歙县,歙县太平桥,明
安徽省,休宁县,休宁登封桥,清
浙江省,兰溪市,兰溪通洲桥,清
福建省,建瓯市,建瓯值庆桥,明
河南省,安阳县,安阳永和桥,宋
河南省,汝南县,汝宁石桥,明
河南省,叶县,龙泉澧河石桥,明
湖南省,澧县,澧县多安桥,清
云南省,石屏县,涧澜桥阁,清
云南省,昆明市西山区,海口川字闸,清
四川省,泸定县,泸定桥,清